"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 21 16:46:09 CST 2020","Mon Dec 21 16:46:09 CST 2020","44","testcase","test_case","","","","test_case[item4]",""
"failed","Mon Dec 21 16:46:09 CST 2020","Mon Dec 21 16:46:09 CST 2020","24","testcase","test_case","","","","test_case[item5]",""
"failed","Mon Dec 21 16:46:08 CST 2020","Mon Dec 21 16:46:08 CST 2020","46","testcase","test_case","","","","test_case[item0]",""
"failed","Mon Dec 21 16:46:09 CST 2020","Mon Dec 21 16:46:09 CST 2020","35","testcase","test_case","","","","test_case[item3]",""
"broken","Mon Dec 21 16:46:08 CST 2020","Mon Dec 21 16:46:08 CST 2020","1","testcase","test_case","","","","test_case[item1]",""
"broken","Mon Dec 21 16:46:09 CST 2020","Mon Dec 21 16:46:09 CST 2020","0","testcase","test_case","","","","test_case[item6]",""
"passed","Mon Dec 21 16:46:09 CST 2020","Mon Dec 21 16:46:09 CST 2020","26","testcase","test_case","","","","test_case[item2]",""
